Measurement Number,Total Samples,Pin44 Active (1/0),Pin45 Active (1/0),Avg Pin44 (mid points),Avg Pin45 (mid points),Out of Normal Range
258,6,1,0,3246.0,3168.5,0
259,6,0,1,1.5,352.5,0
260,6,1,0,3248.0,3168.5,0
261,5,0,1,3.5,205.5,0
262,6,0,1,4.0,206.0,0
263,6,1,0,3247.0,3168.5,0
264,6,1,0,3247.0,3168.5,0
265,6,0,1,4.5,204.0,0
266,6,0,1,6.0,205.0,0
267,6,1,0,3249.5,3165.5,0
268,6,1,0,3248.0,3170.0,0
269,6,0,1,3.0,203.5,0
270,6,0,1,3.0,207.5,0
271,6,0,1,3.5,207.0,0
272,6,1,0,3249.0,3169.0,0
273,6,1,0,3249.0,3167.5,0
274,6,0,1,2.5,205.5,0
275,6,0,1,6.0,205.5,0
276,6,1,0,3246.5,3168.5,0
277,6,1,0,3248.0,3168.5,0
278,6,0,1,3.0,202.0,0
279,6,0,1,1.5,203.5,0
280,6,1,0,3247.5,3168.0,0
281,6,1,0,3249.0,3167.5,0
282,6,1,0,3246.0,3172.0,0
283,5,1,0,3248.0,3168.0,0
284,6,1,0,3246.5,3169.0,0
285,6,0,1,4.0,205.0,0
286,6,0,1,2.5,220.0,0
287,6,1,0,3247.0,3168.5,0
288,6,0,1,3.0,204.0,0
289,6,0,1,2.5,323.0,0
290,6,0,1,2.5,203.0,0
291,6,1,0,3248.0,3167.0,0
292,6,1,0,3247.5,3166.5,0
293,6,0,1,6.0,204.0,0
294,6,0,1,3.5,204.0,0
295,6,0,1,4.5,204.5,0
296,6,0,1,3.0,203.5,0
297,6,0,1,3.5,203.5,0
298,6,0,1,3.0,204.0,0
299,6,0,1,5.5,202.5,0
300,6,1,0,3246.0,3165.5,0
301,6,1,0,3248.0,3166.5,0
302,6,1,0,3246.0,3169.0,0
303,6,1,0,3245.5,3168.5,0
304,6,0,1,5.0,205.5,0
305,6,0,1,3.5,220.0,0
306,6,1,0,3247.5,3168.5,0
307,6,0,1,4.0,205.5,0
308,6,0,1,6.0,207.0,0
309,6,1,0,3247.5,3169.5,0
310,6,1,0,3248.0,3165.5,0
311,6,0,1,3.5,204.0,0
312,6,0,0,514.5,205.5,1
313,5,0,0,2048.5,488.5,1
314,6,1,0,3247.5,3169.0,0
315,6,0,1,3.0,204.0,0
316,6,0,1,6.0,204.5,0
317,5,0,1,3.0,206.0,0
318,6,0,1,2.5,204.0,0
319,6,1,0,3248.5,3168.5,0
320,6,1,0,3248.0,3167.0,0
321,6,0,1,5.5,203.5,0
322,6,0,1,5.0,204.5,0
323,6,1,0,3245.5,3166.5,0
324,6,0,1,6.0,205.0,0
325,6,1,0,3246.0,3170.0,0
326,6,1,0,3247.5,3171.0,0
327,6,1,0,3245.5,3165.5,0
328,6,1,0,3247.5,3166.0,0
329,6,1,0,3247.0,3167.5,0
330,6,0,1,5.5,205.5,0
331,6,1,0,3247.0,3168.5,0
332,6,0,1,6.0,207.0,0
333,6,0,1,5.0,206.5,0
334,6,1,0,3249.0,3169.5,0
335,6,0,1,4.0,204.0,0
336,6,1,0,3249.5,3166.5,0
337,5,0,1,4.0,205.0,0
338,6,0,1,5.5,205.5,0
339,6,0,1,2.5,204.5,0
340,6,1,0,3246.0,3164.5,0
341,6,1,0,3246.0,3167.5,0
342,6,1,0,3248.5,3167.5,0
343,6,1,0,3248.0,3170.0,0
344,6,1,0,3249.0,3169.0,0
345,6,1,0,3250.5,3168.0,0
346,6,0,1,5.5,204.0,0
347,5,1,0,3246.5,3166.5,0
348,6,0,1,5.5,205.0,0
349,6,1,0,3248.0,3168.0,0
350,6,0,1,6.0,203.0,0
351,6,1,0,3244.5,3170.5,0
352,6,0,1,2.0,203.0,0
353,6,1,0,3249.5,3167.5,0
354,6,0,1,7.0,306.5,0
355,6,0,1,6.0,205.5,0
356,6,0,1,3.5,203.0,0
357,6,1,0,3248.0,3169.5,0
358,6,0,1,3.5,202.0,0
359,6,0,1,5.5,205.5,0
360,6,0,1,4.5,204.5,0
361,6,0,1,3.0,204.0,0
362,6,0,1,3.5,207.0,0
363,6,1,0,3247.0,3164.5,0
364,6,0,1,3.5,204.5,0
365,6,0,1,3.0,237.0,0
366,6,0,1,6.5,204.5,0
367,6,0,1,7.0,206.0,0
368,6,0,1,7.0,204.5,0
369,6,1,0,3247.5,3166.0,0
370,6,0,1,2.5,204.0,0
371,6,0,1,5.0,203.0,0
372,6,1,0,3247.0,3168.0,0
373,6,0,1,4.0,204.0,0
374,6,0,1,4.5,204.0,0
375,6,1,0,3245.0,3168.5,0
376,6,0,1,3.5,212.5,0
377,6,1,0,3249.0,3166.5,0
378,6,0,1,2.5,205.0,0
379,6,0,1,6.0,205.5,0
380,6,1,0,3247.5,3167.0,0
381,6,1,0,3245.5,3167.0,0
382,6,0,1,3.0,220.0,0
383,6,0,1,4.0,202.5,0
384,6,1,0,3245.5,3165.5,0
385,6,0,1,2.0,204.5,0
386,6,1,0,3246.5,3168.0,0
387,6,0,1,5.0,206.0,0
388,6,1,0,3250.0,3169.5,0
389,6,1,0,3248.5,3168.5,0
390,6,1,0,3248.0,3168.0,0
391,6,0,1,2.5,203.0,0
392,6,1,0,3247.5,3166.5,0
393,6,0,1,4.0,287.0,0
394,6,1,0,3247.0,3170.0,0
395,6,0,1,4.0,206.0,0
396,6,1,0,3246.5,3167.0,0
397,5,0,1,4.0,206.5,0
398,6,0,1,5.0,202.5,0
399,6,0,1,2.5,206.5,0
400,6,0,1,4.0,205.0,0
401,5,0,1,5.0,496.0,0
402,6,1,0,3248.5,3168.5,0
403,6,1,0,3248.0,3170.0,0
404,6,1,0,3248.5,3168.0,0
405,6,0,1,1.5,203.0,0
406,6,1,0,3247.5,3168.5,0
407,6,1,0,3248.0,3168.0,0
408,6,1,0,3249.5,3169.0,0
409,6,0,1,2.0,204.5,0
410,6,0,1,4.5,204.5,0
411,5,0,1,3.0,205.5,0
412,6,1,0,3250.0,3167.5,0
413,6,0,1,5.0,203.5,0
414,6,0,1,4.0,203.0,0
415,6,1,0,3247.0,3168.5,0
416,6,1,0,3247.5,3165.5,0
417,6,0,1,3.5,204.5,0
418,6,1,0,3247.0,3168.5,0
419,6,0,1,2.0,204.5,0
420,6,1,0,3247.5,3166.5,0
421,5,0,1,3.5,223.5,0
422,6,1,0,3250.0,3166.5,0
423,6,0,1,4.5,254.0,0
424,6,1,0,3249.0,3169.0,0
425,6,0,1,3.5,204.0,0
426,6,1,0,3248.5,3167.5,0
427,6,1,0,3247.0,3166.5,0
428,6,1,0,3248.5,3167.0,0
429,6,1,0,3248.0,3167.0,0
430,6,1,0,3247.5,3169.5,0
431,6,1,0,3250.0,3175.0,0
432,6,1,0,3246.0,3165.5,0
433,6,1,0,3248.0,3166.0,0
434,6,0,1,3.5,205.5,0
435,6,0,1,3.5,203.5,0
436,6,0,1,7.0,206.0,0
437,6,1,0,3248.0,3166.5,0
438,6,0,1,4.0,203.0,0
439,6,1,0,3247.5,3168.0,0
440,6,0,1,4.5,205.5,0
441,6,1,0,3247.5,3168.0,0
442,6,0,1,4.0,204.5,0
443,6,0,1,6.5,204.0,0
444,6,0,1,2.5,203.0,0
445,6,1,0,3245.0,3165.0,0
446,6,1,0,3247.0,3167.0,0
447,6,1,0,3246.5,3167.5,0
448,6,1,0,3248.0,3168.0,0
449,6,0,1,1.5,207.5,0
450,6,0,1,3.5,205.0,0
451,5,0,0,1027.5,305.0,1
452,6,0,1,4.0,202.5,0
453,6,0,1,4.0,204.5,0
454,6,1,0,3246.5,3168.0,0
455,5,0,1,2.5,204.0,0
456,3,0,0,0.0,0.0,0
457,3,0,0,0.0,0.0,0
458,5,0,1,4.0,203.0,0
459,6,0,1,4.5,203.5,0
460,6,0,1,4.5,204.0,0
461,6,1,0,3245.5,3167.5,0
462,6,0,1,6.0,203.5,0
463,6,0,1,4.5,205.5,0
464,5,0,1,5.5,202.5,0
465,6,0,1,4.0,207.0,0
466,6,0,1,5.5,206.0,0
467,6,0,1,3.5,202.5,0
468,6,0,1,2.0,208.0,0
469,5,1,0,3249.5,3166.0,0
470,6,0,1,3.0,206.0,0
471,6,1,0,3247.5,3167.5,0
472,6,0,1,5.0,205.5,0
473,6,0,1,3.0,487.5,0
474,6,1,0,3246.5,3168.0,0
475,6,0,1,5.0,210.0,0
476,6,0,1,3.5,206.5,0
477,6,0,1,5.0,203.0,0
478,6,0,1,4.0,205.5,0
479,6,0,1,2.0,203.0,0
480,1,0,0,0.0,0.0,0
481,5,1,0,3246.5,3170.0,0
482,6,1,0,3249.0,3168.0,0
483,6,1,0,3249.0,3167.5,0
484,6,1,0,3246.5,3168.0,0
485,6,0,1,3.5,219.0,0
486,5,0,1,4.0,205.0,0
487,6,1,0,3248.0,3167.5,0
488,6,0,1,3.5,232.0,0
489,6,0,1,5.5,202.0,0
490,6,1,0,3247.5,3169.0,0
491,6,1,0,3246.0,3168.5,0
492,6,1,0,3246.0,3166.5,0
493,6,1,0,3246.0,3165.5,0
494,6,0,1,4.5,201.5,0
495,6,0,1,5.5,204.0,0
496,6,1,0,3247.5,3166.5,0
497,6,1,0,3248.0,3168.5,0
498,5,0,1,7.0,206.5,0
499,6,0,1,2.5,203.0,0
500,6,0,1,4.5,233.5,0
501,6,0,1,4.5,204.0,0
502,6,1,0,3247.0,3169.0,0
503,6,0,1,3.5,205.0,0
504,6,1,0,3249.0,3171.0,0
505,6,0,1,5.0,202.0,0
506,6,0,1,1.5,203.5,0
507,6,1,0,3248.5,3165.0,0
508,6,1,0,3244.5,3170.0,0
509,6,1,0,3248.5,3169.5,0
510,6,1,0,3248.0,3166.5,0
511,5,1,0,3247.5,3169.0,0
512,6,1,0,3249.0,3167.5,0
513,6,0,1,5.5,207.5,0
514,6,1,0,3247.5,3167.5,0
515,6,1,0,3246.5,3168.0,0
516,6,1,0,3246.5,3169.5,0
517,6,0,1,3.0,237.0,0
518,6,0,1,3.0,205.0,0
519,6,0,1,2.5,203.5,0
520,5,1,0,3249.5,3169.0,0
521,6,1,0,3248.5,3169.5,0
522,6,0,1,2.5,204.0,0
523,6,1,0,3248.5,3171.0,0
524,6,0,1,7.5,205.5,0
525,6,1,0,3247.5,3165.5,0
526,6,1,0,3248.0,3168.0,0
527,6,0,1,5.5,205.5,0
528,6,1,0,3247.0,3166.0,0
529,6,1,0,3246.5,3168.0,0
530,5,1,0,3248.5,3169.5,0
531,6,1,0,3246.5,3169.5,0
532,6,0,1,4.5,204.5,0
533,5,1,0,3247.5,3169.5,0
534,6,0,1,4.0,205.5,0
535,6,0,1,6.0,206.5,0
536,6,1,0,3247.0,3169.5,0
537,6,1,0,3248.0,3166.5,0
538,6,0,1,4.5,204.5,0
539,6,1,0,3249.5,3168.0,0
540,6,1,0,3246.0,3172.0,0
541,6,1,0,3246.5,3166.0,0
542,5,0,1,4.0,207.5,0
543,6,0,1,5.0,205.0,0
544,6,1,0,3247.5,3168.5,0
545,6,1,0,3247.5,3165.5,0
546,6,1,0,3251.5,3166.5,0
547,6,1,0,3246.5,3168.5,0
548,6,1,0,3247.5,3167.0,0
549,6,0,1,3.0,210.0,0
550,6,1,0,3249.0,3168.0,0
551,6,1,0,3248.0,3166.0,0
552,6,1,0,3249.0,3168.5,0
553,6,1,0,3247.5,3168.5,0
554,6,0,1,2.0,202.5,0
555,6,0,1,3.0,205.0,0
556,6,0,1,4.0,205.0,0
557,6,0,1,2.0,203.0,0
558,6,0,1,7.5,206.0,0
559,6,1,0,3248.0,3169.5,0
560,6,1,0,3247.5,3168.5,0
561,5,0,1,5.0,205.5,0
562,6,1,0,3247.5,3166.5,0
563,6,0,0,2049.0,203.5,1
564,6,1,0,3247.0,3165.5,0
565,6,1,0,3245.5,3166.5,0
566,6,0,1,6.0,205.0,0
567,6,1,0,3246.5,3167.5,0
568,6,1,0,3248.0,3168.5,0
569,5,1,0,3247.5,3165.0,0
570,6,0,1,4.5,206.5,0
571,6,1,0,3246.0,3167.0,0
572,6,0,1,5.0,203.0,0
573,6,1,0,3246.0,3168.5,0
574,6,0,1,5.0,206.0,0
575,6,0,1,3.5,206.0,0
576,6,1,0,3248.0,3165.5,0
577,6,1,0,3249.5,3168.0,0
578,6,0,1,4.5,203.5,0
579,5,0,1,6.5,204.5,0
580,6,0,1,3.0,204.0,0
581,6,1,0,3247.5,3169.5,0
582,6,1,0,3249.0,3167.0,0
583,6,0,1,5.5,204.0,0
584,6,1,0,3248.5,3168.0,0
585,6,0,1,4.5,203.5,0
586,6,1,0,3248.0,3169.0,0
587,6,0,1,3.5,203.5,0
588,6,0,1,4.0,206.0,0
589,6,0,1,4.0,204.5,0
590,6,0,1,5.0,202.0,0
591,6,0,1,1.5,206.0,0
592,6,0,1,4.5,204.5,0
593,6,1,0,3246.5,3169.5,0
594,5,0,1,4.0,204.0,0
595,6,0,1,4.5,204.0,0
596,6,1,0,3248.0,3166.5,0
597,6,1,0,3247.5,3167.5,0
598,6,1,0,3247.5,3169.5,0
599,5,0,1,3.0,205.5,0
600,6,1,0,3248.0,3168.5,0
601,5,0,1,0.5,206.5,0
602,6,1,0,3247.5,3170.0,0
603,5,0,1,4.0,207.5,0
604,6,0,1,3.0,259.5,0
605,6,1,0,3248.0,3166.5,0
606,6,0,1,3.5,203.0,0
607,6,1,0,3247.0,3167.5,0
608,6,0,1,6.0,202.5,0
609,6,0,1,5.5,207.5,0
610,6,1,0,3249.0,3169.5,0
611,6,1,0,3248.5,3168.0,0
612,6,0,1,3.0,203.0,0
613,5,0,1,3.5,205.0,0
