Measurement Number,Total Samples,Pin44 Active (1/0),Pin45 Active (1/0),Avg Pin44 (mid points),Avg Pin45 (mid points),Out of Normal Range
1,6,0,1,3.0,205.0,0
2,5,0,1,5.0,207.0,0
3,6,0,1,5.0,204.0,0
4,6,1,0,3245.5,3167.0,0
5,6,1,0,3247.5,3170.5,0
6,6,0,1,5.0,206.0,0
7,5,0,1,6.0,279.0,0
8,6,1,0,3248.5,3167.5,0
9,5,1,0,3247.5,3167.0,0
10,6,0,1,3.5,205.5,0
11,6,0,1,3.5,203.5,0
12,6,1,0,3247.0,3168.5,0
13,5,0,1,4.5,205.5,0
14,6,0,1,3.5,204.0,0
15,6,0,1,3.5,204.0,0
16,5,0,1,3.0,208.5,0
17,6,0,1,8.5,205.5,0
18,6,0,1,4.0,202.0,0
19,6,1,0,3247.0,3167.5,0
20,6,0,1,5.5,203.0,0
21,6,0,1,4.5,206.5,0
22,6,0,1,3.0,208.0,0
23,6,0,1,4.0,206.5,0
24,6,0,1,4.0,204.0,0
25,6,1,0,3248.0,3169.5,0
26,5,0,1,2.5,205.0,0
27,6,0,1,5.5,203.5,0
28,6,1,0,3248.5,3172.0,0
29,6,0,1,5.5,205.0,0
30,6,0,1,6.0,207.5,0
31,6,1,0,3247.5,3167.0,0
32,6,0,1,4.5,205.0,0
33,6,1,0,3247.5,3166.0,0
34,6,0,1,5.5,205.0,0
35,6,1,0,3248.0,3167.0,0
36,6,0,1,5.0,208.5,0
37,6,1,0,3249.5,3167.5,0
38,5,1,0,3247.0,3168.5,0
39,6,1,0,3248.5,3168.0,0
40,6,1,0,3248.0,3168.5,0
41,6,1,0,3245.5,3170.0,0
42,6,0,1,5.5,205.0,0
43,6,1,0,3248.5,3169.0,0
44,6,0,1,3.0,204.5,0
45,6,1,0,3248.5,3168.5,0
46,6,1,0,3248.0,3168.0,0
47,6,1,0,3248.5,3168.0,0
48,5,1,0,3247.5,3169.0,0
49,6,0,1,2.5,205.5,0
50,5,0,1,5.5,205.0,0
51,6,0,1,3.5,205.0,0
52,6,0,1,3.0,206.0,0
53,6,0,1,5.5,205.0,0
54,6,0,1,2.5,205.5,0
55,5,0,1,4.0,202.5,0
56,6,1,0,3249.0,3169.0,0
57,6,1,0,3248.5,3166.5,0
58,6,1,0,3247.0,3169.5,0
59,5,0,1,3.5,206.0,0
60,6,0,1,5.0,205.0,0
61,5,1,0,3247.0,3168.5,0
62,6,0,1,5.0,205.0,0
63,6,1,0,3247.5,3167.5,0
64,5,0,1,4.5,206.0,0
65,6,0,1,6.0,212.0,0
66,6,0,1,4.0,204.5,0
67,6,1,0,3249.0,3168.5,0
68,6,1,0,3246.0,3168.0,0
69,5,0,1,5.5,202.0,0
70,6,0,1,3.5,202.0,0
71,5,0,1,4.5,205.5,0
72,6,0,1,4.5,205.0,0
73,6,0,1,4.5,204.5,0
74,6,0,1,4.5,206.0,0
75,1,0,0,0.0,0.0,0
76,5,1,0,3247.5,3166.5,0
77,6,1,0,3247.0,3170.0,0
78,6,1,0,3248.0,3168.0,0
79,6,0,1,3.5,206.5,0
80,6,1,0,3248.5,3168.5,0
81,6,0,1,5.0,205.5,0
82,6,1,0,3248.5,3167.0,0
83,6,1,0,3246.5,3167.5,0
84,5,0,1,3.0,203.0,0
85,6,0,1,4.5,206.5,0
86,5,0,1,5.0,203.0,0
87,6,1,0,3249.5,3170.5,0
88,6,0,1,5.0,204.0,0
89,6,1,0,3249.5,3168.0,0
90,6,1,0,3249.0,3167.0,0
91,5,0,1,5.0,204.0,0
92,6,0,1,5.5,207.0,0
93,5,1,0,3248.0,3168.5,0
94,6,1,0,3248.5,3168.5,0
95,6,1,0,3247.0,3167.5,0
96,5,1,0,3246.5,3168.0,0
97,6,1,0,3248.5,3169.0,0
98,6,1,0,3248.0,3169.0,0
99,6,1,0,3245.0,3167.0,0
100,6,1,0,3247.0,3169.0,0
101,6,1,0,3249.5,3167.5,0
102,6,0,1,4.0,204.5,0
103,6,1,0,3247.0,3167.0,0
104,6,0,1,8.0,206.0,0
105,5,1,0,3248.0,3171.0,0
106,6,0,1,6.5,204.5,0
107,6,0,1,3.0,202.5,0
108,6,0,1,3.5,204.5,0
109,6,0,1,6.0,206.0,0
110,6,1,0,3249.5,3167.5,0
111,6,1,0,3248.0,3169.5,0
112,6,0,1,5.0,222.5,0
113,6,1,0,3246.5,3166.5,0
114,6,0,1,4.0,205.5,0
115,6,1,0,3246.0,3167.5,0
116,6,1,0,3248.0,3167.0,0
117,6,0,1,0.5,205.0,0
118,6,0,1,3.0,205.5,0
119,6,0,1,4.5,209.0,0
120,5,0,1,2.5,202.5,0
121,6,1,0,3247.0,3169.0,0
122,6,0,1,4.0,206.0,0
